en:Havel-Dalkovy_vyslech:0:shuff:2,cs:Havel-Dalkovy_vyslech:0:shuff:2,say,say,řekl,říci,pf
en:Havel-Dalkovy_vyslech:0:shuff:6,cs:Havel-Dalkovy_vyslech:0:shuff:6,started,start,začal,začít,pf
en:Havel-Dalkovy_vyslech:0:shuff:6,cs:Havel-Dalkovy_vyslech:0:shuff:6,writing,write,psát,psát,impf
en:Havel-Dalkovy_vyslech:0:shuff:8,cs:Havel-Dalkovy_vyslech:0:shuff:8,wrote,write,napsal,napsat,pf
en:Havel-Dalkovy_vyslech:0:shuff:8,cs:Havel-Dalkovy_vyslech:0:shuff:8,heard,hear,neslyšel,slyšet,impf
en:Havel-Dalkovy_vyslech:0:shuff:11,cs:Havel-Dalkovy_vyslech:0:shuff:13,worked,work,pracoval,pracovat,impf
en:Havel-Dalkovy_vyslech:0:shuff:16,cs:Havel-Dalkovy_vyslech:0:shuff:19,haunt,haunt,pronásledují,pronásledovat,impf
en:Havel-Dalkovy_vyslech:0:shuff:16,cs:Havel-Dalkovy_vyslech:0:shuff:19,respect,respect,respektovat,respektovat,impf
en:Havel-Dalkovy_vyslech:0:shuff:18,cs:Havel-Dalkovy_vyslech:0:shuff:21,punished,punish,trestáni,trestat,impf
en:Havel-Dalkovy_vyslech:0:shuff:18,cs:Havel-Dalkovy_vyslech:0:shuff:21,accused,accuse,obviňováni,obviňovat,impf
en:Havel-Dalkovy_vyslech:0:shuff:19,cs:Havel-Dalkovy_vyslech:0:shuff:22,try,try,snaží,snažit,impf
en:Havel-Dalkovy_vyslech:0:shuff:19,cs:Havel-Dalkovy_vyslech:0:shuff:22,push,push,snaží,snažit,impf
en:Havel-Dalkovy_vyslech:0:shuff:19,cs:Havel-Dalkovy_vyslech:0:shuff:22,break,break,prorazit,prorazit,pf
en:Havel-Dalkovy_vyslech:0:shuff:19,cs:Havel-Dalkovy_vyslech:0:shuff:22,touch,touch,dotknout,dotknout,pf
en:Havel-Dalkovy_vyslech:0:shuff:20,cs:Havel-Dalkovy_vyslech:0:shuff:23,skipped,skip,přeskočit,přeskočit,pf
en:Havel-Dalkovy_vyslech:0:shuff:20,cs:Havel-Dalkovy_vyslech:0:shuff:23,look,look,pohlédnout,pohlédnout,pf
en:Havel-Dalkovy_vyslech:0:shuff:21,cs:Havel-Dalkovy_vyslech:0:shuff:24,wrote,write,napsal,napsat,pf
en:Havel-Dalkovy_vyslech:0:shuff:22,cs:Havel-Dalkovy_vyslech:0:shuff:25,make,make,učinit,učinit,pf
en:Havel-Dalkovy_vyslech:0:shuff:22,cs:Havel-Dalkovy_vyslech:0:shuff:25,come,come,učinit,učinit,pf
en:Havel-Dalkovy_vyslech:0:shuff:22,cs:Havel-Dalkovy_vyslech:0:shuff:25,do,do,učinit,učinit,pf
en:Havel-Dalkovy_vyslech:0:shuff:22,cs:Havel-Dalkovy_vyslech:0:shuff:25,make,make,učinit,učinit,pf
