en:Foucault-Slova_a_veci:0:shuff:3,cs:Foucault-Slova_a_veci:0:shuff:6,make,make,vydělávají,vydělávat,impf
en:Foucault-Slova_a_veci:0:shuff:6,cs:Foucault-Slova_a_veci:0:shuff:9,establish,establish,ustavily,ustavit,pf
en:Foucault-Slova_a_veci:0:shuff:7,cs:Foucault-Slova_a_veci:0:shuff:10,existed,exist,neexistovaly,existovat,impf
en:Foucault-Slova_a_veci:0:shuff:7,cs:Foucault-Slova_a_veci:0:shuff:10,limit,limit,omezit,omezit,pf
en:Foucault-Slova_a_veci:0:shuff:8,cs:Foucault-Slova_a_veci:0:shuff:11,ensures,ensure,nezajišťuje,zajišťovat,impf
en:Foucault-Slova_a_veci:0:shuff:8,cs:Foucault-Slova_a_veci:0:shuff:11,pick,pick,vybírají,vybírat,impf
en:Foucault-Slova_a_veci:0:shuff:9,cs:Foucault-Slova_a_veci:0:shuff:12,struggles,struggle,zápasil,zápasit,impf
en:Foucault-Slova_a_veci:0:shuff:14,cs:Foucault-Slova_a_veci:0:shuff:17,designates,designate,označuje,označovat,impf
en:Foucault-Slova_a_veci:0:shuff:14,cs:Foucault-Slova_a_veci:0:shuff:17,indicates,indicate,označuje,označovat,impf
en:Foucault-Slova_a_veci:0:shuff:14,cs:Foucault-Slova_a_veci:0:shuff:17,designate,designate,označuje,označovat,impf
en:Foucault-Slova_a_veci:0:shuff:14,cs:Foucault-Slova_a_veci:0:shuff:17,indicates,indicate,ukazuje,ukazovat,impf
en:Foucault-Slova_a_veci:0:shuff:14,cs:Foucault-Slova_a_veci:0:shuff:17,chosen,choose,zvolena,zvolit,pf
en:Foucault-Slova_a_veci:0:shuff:16,cs:Foucault-Slova_a_veci:0:shuff:19,receive,receive,dostanou,dostat,pf
en:Foucault-Slova_a_veci:0:shuff:17,cs:Foucault-Slova_a_veci:0:shuff:20,termed,term,nazývat,nazývat,impf
en:Foucault-Slova_a_veci:0:shuff:18,cs:Foucault-Slova_a_veci:0:shuff:21,composed,compose,skládat,skládat,impf
en:Foucault-Slova_a_veci:0:shuff:20,cs:Foucault-Slova_a_veci:0:shuff:24,resembles,resemble,podobá,podobat,impf
en:Foucault-Slova_a_veci:0:shuff:20,cs:Foucault-Slova_a_veci:0:shuff:24,facilitates,facilitate,usnadní,usnadnit,pf
en:Foucault-Slova_a_veci:0:shuff:21,cs:Foucault-Slova_a_veci:0:shuff:25,term,term,Nazýváme,nazývat,impf
en:Foucault-Slova_a_veci:0:shuff:22,cs:Foucault-Slova_a_veci:0:shuff:26,permit,permit,nedovoluje,dovolovat,impf
en:Foucault-Slova_a_veci:0:shuff:22,cs:Foucault-Slova_a_veci:0:shuff:26,choose,choose,vybírat,vybírat,impf
en:Foucault-Slova_a_veci:0:shuff:25,cs:Foucault-Slova_a_veci:0:shuff:31,limited,limit,omezil,omezit,pf
en:Foucault-Slova_a_veci:0:shuff:26,cs:Foucault-Slova_a_veci:0:shuff:32,renounce,renounce,vzdát,vzdát,pf
en:Foucault-Slova_a_veci:0:shuff:27,cs:Foucault-Slova_a_veci:0:shuff:33,learned,learn,naučili,naučit,pf
en:Foucault-Slova_a_veci:0:shuff:31,cs:Foucault-Slova_a_veci:0:shuff:39,remain,remain,zůstala,zůstat,pf
