en:woolfova-mezi_akty:0:shuff:1,cs:woolfova-mezi_akty:0:shuff:1,striding,stride,Kráčel,kráčet,impf
en:woolfova-mezi_akty:0:shuff:1,cs:woolfova-mezi_akty:0:shuff:1,awaited,await,očekáván,očekávat,impf
en:woolfova-mezi_akty:0:shuff:1,cs:woolfova-mezi_akty:0:shuff:1,expected,expect,očekáván,očekávat,impf
en:woolfova-mezi_akty:0:shuff:1,cs:woolfova-mezi_akty:0:shuff:1,comes,come,přichází,přicházet,impf
en:woolfova-mezi_akty:0:shuff:2,cs:woolfova-mezi_akty:0:shuff:2,said,say,řekla,říci,pf
en:woolfova-mezi_akty:0:shuff:11,cs:woolfova-mezi_akty:0:shuff:11,brought,bring,přinesli,přinést,pf
en:woolfova-mezi_akty:0:shuff:14,cs:woolfova-mezi_akty:0:shuff:15,seeing,see,zahlédli,zahlédnout,pf
en:woolfova-mezi_akty:0:shuff:17,cs:woolfova-mezi_akty:0:shuff:18,Dispersed,disperse,rozptýleni,rozptýlit,pf
en:woolfova-mezi_akty:0:shuff:17,cs:woolfova-mezi_akty:0:shuff:18,informed,inform,oznámil,oznámit,pf
en:woolfova-mezi_akty:0:shuff:18,cs:woolfova-mezi_akty:0:shuff:19,dismissed,dismiss,propustil,propustit,pf
en:woolfova-mezi_akty:0:shuff:22,cs:woolfova-mezi_akty:0:shuff:25,understand,understand,rozumět,rozumět,impf
en:woolfova-mezi_akty:0:shuff:24,cs:woolfova-mezi_akty:0:shuff:27,Come,come,Pojďte,jít,impf
en:woolfova-mezi_akty:0:shuff:27,cs:woolfova-mezi_akty:0:shuff:31,Bound,bind,svazovali,svazovat,impf
en:woolfova-mezi_akty:0:shuff:30,cs:woolfova-mezi_akty:0:shuff:35,see,see,vidím,vidět,impf
en:woolfova-mezi_akty:0:shuff:35,cs:woolfova-mezi_akty:0:shuff:42,looked,look,Pohlédl,pohlédnout,pf
en:woolfova-mezi_akty:0:shuff:42,cs:woolfova-mezi_akty:0:shuff:50,think,think,myslím,myslet,impf
en:woolfova-mezi_akty:0:shuff:42,cs:woolfova-mezi_akty:0:shuff:50,hear,hear,slyším,slyšet,impf
