en:Orwell-1984:0:shuff:1,cs:Orwell-1984:0:shuff:1,lies,lie,leží,ležet,impf
en:Orwell-1984:0:shuff:1,cs:Orwell-1984:0:shuff:1,use,use,používat,používat,impf
en:Orwell-1984:0:shuff:2,cs:Orwell-1984:0:shuff:2,rests,rest,spočívá,spočívat,impf
en:Orwell-1984:0:shuff:6,cs:Orwell-1984:0:shuff:6,means,mean,znamená,znamenat,impf
en:Orwell-1984:0:shuff:9,cs:Orwell-1984:0:shuff:9,cause,cause,způsobit,způsobit,pf
en:Orwell-1984:0:shuff:11,cs:Orwell-1984:0:shuff:11,betray,betray,Zradit,zradit,pf
en:Orwell-1984:0:shuff:14,cs:Orwell-1984:0:shuff:14,manufactured,manufacture,nevyráběl,vyrábět,impf
en:Orwell-1984:0:shuff:15,cs:Orwell-1984:0:shuff:15,guess,guess,Odhadoval,odhadovat,impf
en:Orwell-1984:0:shuff:16,cs:Orwell-1984:0:shuff:16,seen,see,zahlédl,zahlédnout,pf
en:Orwell-1984:0:shuff:16,cs:Orwell-1984:0:shuff:16,remember,remember,nepamatoval,pamatovat,impf
en:Orwell-1984:0:shuff:16,cs:Orwell-1984:0:shuff:16,possess,possess,vlastnit,vlastnit,impf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,steal,steal,krást,krást,impf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,steal,steal,ukradl,ukrást,pf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,swam,swim,plaval,plavat,impf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,gave,give,dal,dát,pf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,brought,bring,přinesl,přinést,pf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,taken,take,přinesl,přinést,pf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,spoke,speak,hovořil,hovořit,impf
en:Orwell-1984:0:shuff:17,cs:Orwell-1984:0:shuff:17,abolished,abolish,zrušeny,zrušit,pf
en:Orwell-1984:0:shuff:20,cs:Orwell-1984:0:shuff:19,swimming,swim,plavaly,plavat,impf
en:Orwell-1984:0:shuff:21,cs:Orwell-1984:0:shuff:20,coming,come,přicházela,přicházet,impf
en:Orwell-1984:0:shuff:22,cs:Orwell-1984:0:shuff:21,tore,tear,strhla,strhnout,pf
en:Orwell-1984:0:shuff:22,cs:Orwell-1984:0:shuff:21,flung,fling,odhodila,odhodit,pf
