en:Francis-Chladna_zrada:0:shuff:2,cs:Francis-Chladna_zrada:0:shuff:2,spotted,spot,našli,najít,pf
en:Francis-Chladna_zrada:0:shuff:4,cs:Francis-Chladna_zrada:0:shuff:4,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:11,cs:Francis-Chladna_zrada:0:shuff:11,opened,open,otevřela,otevřít,pf
en:Francis-Chladna_zrada:0:shuff:17,cs:Francis-Chladna_zrada:0:shuff:15,offer,offer,nabízel,nabízet,impf
en:Francis-Chladna_zrada:0:shuff:18,cs:Francis-Chladna_zrada:0:shuff:16,grow,grow,Rostou,růst,impf
en:Francis-Chladna_zrada:0:shuff:25,cs:Francis-Chladna_zrada:0:shuff:22,lying,lie,ležela,ležet,impf
en:Francis-Chladna_zrada:0:shuff:36,cs:Francis-Chladna_zrada:0:shuff:34,going,go,jet,jet,impf
en:Francis-Chladna_zrada:0:shuff:39,cs:Francis-Chladna_zrada:0:shuff:37,helped,help,pomohlo,pomoci,pf
en:Francis-Chladna_zrada:0:shuff:41,cs:Francis-Chladna_zrada:0:shuff:39,Crying,cry,Plakal,plakat,impf
en:Francis-Chladna_zrada:0:shuff:49,cs:Francis-Chladna_zrada:0:shuff:48,putting,put,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:49,cs:Francis-Chladna_zrada:0:shuff:48,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:56,cs:Francis-Chladna_zrada:0:shuff:56,went,go,jezdím,jezdit,impf
en:Francis-Chladna_zrada:0:shuff:59,cs:Francis-Chladna_zrada:0:shuff:59,cleared,clear,vyklizeno,vyklidit,pf
en:Francis-Chladna_zrada:0:shuff:61,cs:Francis-Chladna_zrada:0:shuff:61,wearing,wear,měla,mít,impf
en:Francis-Chladna_zrada:0:shuff:64,cs:Francis-Chladna_zrada:0:shuff:64,help,help,pomůže,pomoci,pf
en:Francis-Chladna_zrada:0:shuff:68,cs:Francis-Chladna_zrada:0:shuff:70,nodded,nod,kývat,kývat,impf
en:Francis-Chladna_zrada:0:shuff:69,cs:Francis-Chladna_zrada:0:shuff:71,ask,ask,ptáte,ptát,impf
en:Francis-Chladna_zrada:0:shuff:75,cs:Francis-Chladna_zrada:0:shuff:78,talking,talk,vyprávěl,vyprávět,impf
en:Francis-Chladna_zrada:0:shuff:88,cs:Francis-Chladna_zrada:0:shuff:94,bang,bang,nepraštil,praštit,pf
en:Francis-Chladna_zrada:0:shuff:89,cs:Francis-Chladna_zrada:0:shuff:95,sitting,sit,sedí,sedět,impf
en:Francis-Chladna_zrada:0:shuff:90,cs:Francis-Chladna_zrada:0:shuff:96,leading,lead,vést,vést,impf
en:Francis-Chladna_zrada:0:shuff:91,cs:Francis-Chladna_zrada:0:shuff:97,understand,understand,Nerozumím,rozumět,impf
en:Francis-Chladna_zrada:0:shuff:98,cs:Francis-Chladna_zrada:0:shuff:102,hitting,hit,uhodil,uhodit,pf
en:Francis-Chladna_zrada:0:shuff:98,cs:Francis-Chladna_zrada:0:shuff:102,saying,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:111,cs:Francis-Chladna_zrada:0:shuff:115,smiled,smile,Usmál,usmát,pf
en:Francis-Chladna_zrada:0:shuff:112,cs:Francis-Chladna_zrada:0:shuff:116,tell,tell,říct,říci,pf
en:Francis-Chladna_zrada:0:shuff:116,cs:Francis-Chladna_zrada:0:shuff:119,picked,pick,Vzal,vzít,pf
en:Francis-Chladna_zrada:0:shuff:120,cs:Francis-Chladna_zrada:0:shuff:123,sat,sit,Sedl,sednout,pf
en:Francis-Chladna_zrada:0:shuff:120,cs:Francis-Chladna_zrada:0:shuff:123,thought,think,přemýšlel,přemýšlet,impf
en:Francis-Chladna_zrada:0:shuff:120,cs:Francis-Chladna_zrada:0:shuff:123,vanished,vanish,mizí,mizet,impf
en:Francis-Chladna_zrada:0:shuff:129,cs:Francis-Chladna_zrada:0:shuff:130,took,take,bere,brát,impf
en:Francis-Chladna_zrada:0:shuff:135,cs:Francis-Chladna_zrada:0:shuff:134,smiled,smile,Usmála,usmát,pf
en:Francis-Chladna_zrada:0:shuff:135,cs:Francis-Chladna_zrada:0:shuff:134,pointed,point,ukázala,ukázat,pf
en:Francis-Chladna_zrada:0:shuff:136,cs:Francis-Chladna_zrada:0:shuff:135,starts,start,začíná,začínat,impf
en:Francis-Chladna_zrada:0:shuff:141,cs:Francis-Chladna_zrada:0:shuff:141,talking,talk,Mluvím,mluvit,impf
en:Francis-Chladna_zrada:0:shuff:143,cs:Francis-Chladna_zrada:0:shuff:143,saw,see,viděl,vidět,impf
en:Francis-Chladna_zrada:0:shuff:147,cs:Francis-Chladna_zrada:0:shuff:150,lay,lie,Ležela,ležet,impf
en:Francis-Chladna_zrada:0:shuff:148,cs:Francis-Chladna_zrada:0:shuff:151,said,say,neřekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:151,cs:Francis-Chladna_zrada:0:shuff:153,came,come,Šel,jít,impf
en:Francis-Chladna_zrada:0:shuff:151,cs:Francis-Chladna_zrada:0:shuff:153,walked,walk,Šel,jít,impf
en:Francis-Chladna_zrada:0:shuff:157,cs:Francis-Chladna_zrada:0:shuff:162,tell,tell,říct,říci,pf
en:Francis-Chladna_zrada:0:shuff:165,cs:Francis-Chladna_zrada:0:shuff:171,felt,feel,vycítil,vycítit,pf
en:Francis-Chladna_zrada:0:shuff:179,cs:Francis-Chladna_zrada:0:shuff:183,forgotten,forget,zapomněl,zapomenout,pf
en:Francis-Chladna_zrada:0:shuff:179,cs:Francis-Chladna_zrada:0:shuff:183,gone,go,odjel,odjet,pf
en:Francis-Chladna_zrada:0:shuff:182,cs:Francis-Chladna_zrada:0:shuff:186,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:185,cs:Francis-Chladna_zrada:0:shuff:188,Forgot,forget,zapomněl,zapomenout,pf
en:Francis-Chladna_zrada:0:shuff:195,cs:Francis-Chladna_zrada:0:shuff:200,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:197,cs:Francis-Chladna_zrada:0:shuff:202,Do,do,Děláte,dělat,impf
en:Francis-Chladna_zrada:0:shuff:197,cs:Francis-Chladna_zrada:0:shuff:202,do,do,Děláte,dělat,impf
en:Francis-Chladna_zrada:0:shuff:198,cs:Francis-Chladna_zrada:0:shuff:203,mean,mean,Myslím,myslet,impf
en:Francis-Chladna_zrada:0:shuff:204,cs:Francis-Chladna_zrada:0:shuff:209,collect,collect,nesbíral,sbírat,impf
en:Francis-Chladna_zrada:0:shuff:210,cs:Francis-Chladna_zrada:0:shuff:214,stretched,stretch,protáhl,protáhnout,pf
en:Francis-Chladna_zrada:0:shuff:210,cs:Francis-Chladna_zrada:0:shuff:214,undressed,undress,svlékl,svléknout,pf
en:Francis-Chladna_zrada:0:shuff:210,cs:Francis-Chladna_zrada:0:shuff:214,brushed,brush,vyčistil,vyčistit,pf
en:Francis-Chladna_zrada:0:shuff:211,cs:Francis-Chladna_zrada:0:shuff:215,lay,lie,ležela,ležet,impf
en:Francis-Chladna_zrada:0:shuff:212,cs:Francis-Chladna_zrada:0:shuff:216,picked,pick,Vzal,vzít,pf
en:Francis-Chladna_zrada:0:shuff:216,cs:Francis-Chladna_zrada:0:shuff:222,look,look,Podíval,podívat,pf
en:Francis-Chladna_zrada:0:shuff:217,cs:Francis-Chladna_zrada:0:shuff:223,asked,ask,zeptal,zeptat,pf
en:Francis-Chladna_zrada:0:shuff:219,cs:Francis-Chladna_zrada:0:shuff:225,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:220,cs:Francis-Chladna_zrada:0:shuff:226,think,think,myslím,myslet,impf
en:Francis-Chladna_zrada:0:shuff:222,cs:Francis-Chladna_zrada:0:shuff:228,agreed,agree,souhlasil,souhlasit,impf
en:Francis-Chladna_zrada:0:shuff:224,cs:Francis-Chladna_zrada:0:shuff:231,shook,shake,otřáslo,otřást,pf
en:Francis-Chladna_zrada:0:shuff:224,cs:Francis-Chladna_zrada:0:shuff:231,saw,see,viděl,vidět,impf
en:Francis-Chladna_zrada:0:shuff:226,cs:Francis-Chladna_zrada:0:shuff:233,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:229,cs:Francis-Chladna_zrada:0:shuff:237,lives,live,Bydlí,bydlet,impf
en:Francis-Chladna_zrada:0:shuff:231,cs:Francis-Chladna_zrada:0:shuff:239,goes,go,chodí,chodit,impf
en:Francis-Chladna_zrada:0:shuff:234,cs:Francis-Chladna_zrada:0:shuff:242,takes,take,bere,brát,impf
en:Francis-Chladna_zrada:0:shuff:235,cs:Francis-Chladna_zrada:0:shuff:243,comes,come,chodí,chodit,impf
en:Francis-Chladna_zrada:0:shuff:235,cs:Francis-Chladna_zrada:0:shuff:243,gone,go,chodí,chodit,impf
en:Francis-Chladna_zrada:0:shuff:235,cs:Francis-Chladna_zrada:0:shuff:243,comes,come,nejdeme,jít,impf
en:Francis-Chladna_zrada:0:shuff:235,cs:Francis-Chladna_zrada:0:shuff:243,gone,go,nejdeme,jít,impf
en:Francis-Chladna_zrada:0:shuff:241,cs:Francis-Chladna_zrada:0:shuff:249,complain,complain,Nestěžují,stěžovat,impf
en:Francis-Chladna_zrada:0:shuff:245,cs:Francis-Chladna_zrada:0:shuff:253,told,tell,Vyprávěl,vyprávět,impf
en:Francis-Chladna_zrada:0:shuff:250,cs:Francis-Chladna_zrada:0:shuff:258,saw,see,Zahlédl,zahlédnout,pf
en:Francis-Chladna_zrada:0:shuff:255,cs:Francis-Chladna_zrada:0:shuff:262,go,go,odejít,odejít,pf
en:Francis-Chladna_zrada:0:shuff:263,cs:Francis-Chladna_zrada:0:shuff:269,stopped,stop,přestala,přestat,pf
en:Francis-Chladna_zrada:0:shuff:265,cs:Francis-Chladna_zrada:0:shuff:272,passed,pass,prošel,projít,pf
en:Francis-Chladna_zrada:0:shuff:267,cs:Francis-Chladna_zrada:0:shuff:275,walked,walk,Šel,jít,impf
en:Francis-Chladna_zrada:0:shuff:273,cs:Francis-Chladna_zrada:0:shuff:280,nodded,nod,přikývl,přikývnout,pf
en:Francis-Chladna_zrada:0:shuff:279,cs:Francis-Chladna_zrada:0:shuff:286,nodded,nod,Přikývl,přikývnout,pf
en:Francis-Chladna_zrada:0:shuff:282,cs:Francis-Chladna_zrada:0:shuff:288,Depends,depend,Záleží,záležet,impf
en:Francis-Chladna_zrada:0:shuff:283,cs:Francis-Chladna_zrada:0:shuff:289,think,think,myslíte,myslet,impf
en:Francis-Chladna_zrada:0:shuff:284,cs:Francis-Chladna_zrada:0:shuff:290,tell,tell,říct,říci,pf
en:Francis-Chladna_zrada:0:shuff:286,cs:Francis-Chladna_zrada:0:shuff:292,mean,mean,myslím,myslet,impf
en:Francis-Chladna_zrada:0:shuff:294,cs:Francis-Chladna_zrada:0:shuff:299,asked,ask,zeptal,zeptat,pf
en:Francis-Chladna_zrada:0:shuff:294,cs:Francis-Chladna_zrada:0:shuff:299,like,like,chci,chtít,impf
en:Francis-Chladna_zrada:0:shuff:297,cs:Francis-Chladna_zrada:0:shuff:301,nodded,nod,přikývl,přikývnout,pf
en:Francis-Chladna_zrada:0:shuff:302,cs:Francis-Chladna_zrada:0:shuff:304,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:302,cs:Francis-Chladna_zrada:0:shuff:304,disappeared,disappear,zmizel,zmizet,pf
en:Francis-Chladna_zrada:0:shuff:303,cs:Francis-Chladna_zrada:0:shuff:305,like,like,chtěl,chtít,impf
en:Francis-Chladna_zrada:0:shuff:303,cs:Francis-Chladna_zrada:0:shuff:305,said,say,říct,říci,pf
en:Francis-Chladna_zrada:0:shuff:303,cs:Francis-Chladna_zrada:0:shuff:305,tell,tell,říct,říci,pf
en:Francis-Chladna_zrada:0:shuff:304,cs:Francis-Chladna_zrada:0:shuff:306,worked,work,pracuje,pracovat,impf
en:Francis-Chladna_zrada:0:shuff:305,cs:Francis-Chladna_zrada:0:shuff:307,asked,ask,Zeptal,zeptat,pf
en:Francis-Chladna_zrada:0:shuff:305,cs:Francis-Chladna_zrada:0:shuff:307,come,come,přijet,přijet,pf
en:Francis-Chladna_zrada:0:shuff:305,cs:Francis-Chladna_zrada:0:shuff:307,take,take,vzít,vzít,pf
en:Francis-Chladna_zrada:0:shuff:306,cs:Francis-Chladna_zrada:0:shuff:308,meet,meet,sejít,sejít,pf
en:Francis-Chladna_zrada:0:shuff:307,cs:Francis-Chladna_zrada:0:shuff:309,understand,understand,rozumět,rozumět,impf
en:Francis-Chladna_zrada:0:shuff:307,cs:Francis-Chladna_zrada:0:shuff:309,understand,understand,neumí,umět,impf
en:Francis-Chladna_zrada:0:shuff:310,cs:Francis-Chladna_zrada:0:shuff:312,find,find,našel,najít,pf
en:Francis-Chladna_zrada:0:shuff:315,cs:Francis-Chladna_zrada:0:shuff:317,ask,ask,Zeptám,zeptat,pf
en:Francis-Chladna_zrada:0:shuff:315,cs:Francis-Chladna_zrada:0:shuff:317,said,say,řekl,říci,pf
en:Francis-Chladna_zrada:0:shuff:318,cs:Francis-Chladna_zrada:0:shuff:320,tell,tell,Řekneš,říci,pf
en:Francis-Chladna_zrada:0:shuff:318,cs:Francis-Chladna_zrada:0:shuff:320,told,tell,Řekneš,říci,pf
en:Francis-Chladna_zrada:0:shuff:318,cs:Francis-Chladna_zrada:0:shuff:320,tell,tell,vyprávěl,vyprávět,impf
en:Francis-Chladna_zrada:0:shuff:318,cs:Francis-Chladna_zrada:0:shuff:320,told,tell,vyprávěl,vyprávět,impf
en:Francis-Chladna_zrada:0:shuff:324,cs:Francis-Chladna_zrada:0:shuff:327,called,call,volám,volat,impf
en:Francis-Chladna_zrada:0:shuff:329,cs:Francis-Chladna_zrada:0:shuff:331,called,call,Zatelefonoval,zatelefonovat,pf
en:Francis-Chladna_zrada:0:shuff:329,cs:Francis-Chladna_zrada:0:shuff:331,telephoned,telephone,Zatelefonoval,zatelefonovat,pf
en:Francis-Chladna_zrada:0:shuff:330,cs:Francis-Chladna_zrada:0:shuff:332,saw,see,viděl,vidět,impf
en:Francis-Chladna_zrada:0:shuff:331,cs:Francis-Chladna_zrada:0:shuff:333,say,say,říct,říci,pf
