en:Steel-Druha_sance:0:shuff:1,cs:Steel-Druha_sance:0:shuff:1,showing,show,objevil,objevit,pf
en:Steel-Druha_sance:0:shuff:2,cs:Steel-Druha_sance:0:shuff:2,needed,need,potřebuješ,potřebovat,impf
en:Steel-Druha_sance:0:shuff:3,cs:Steel-Druha_sance:0:shuff:3,want,want,nechtěla,chtít,impf
en:Steel-Druha_sance:0:shuff:8,cs:Steel-Druha_sance:0:shuff:8,want,want,nechtěla,chtít,impf
en:Steel-Druha_sance:0:shuff:9,cs:Steel-Druha_sance:0:shuff:9,putting,put,Dáš,dát,pf
en:Steel-Druha_sance:0:shuff:9,cs:Steel-Druha_sance:0:shuff:9,asked,ask,zeptala,zeptat,pf
en:Steel-Druha_sance:0:shuff:10,cs:Steel-Druha_sance:0:shuff:10,do,do,fungují,fungovat,impf
en:Steel-Druha_sance:0:shuff:14,cs:Steel-Druha_sance:0:shuff:14,want,want,chtít,chtít,impf
en:Steel-Druha_sance:0:shuff:14,cs:Steel-Druha_sance:0:shuff:14,said,say,odpověděl,odpovědět,pf
en:Steel-Druha_sance:0:shuff:16,cs:Steel-Druha_sance:0:shuff:16,thought,think,Myslím,myslet,impf
en:Steel-Druha_sance:0:shuff:18,cs:Steel-Druha_sance:0:shuff:18,believe,believe,Nevěřila,věřit,impf
en:Steel-Druha_sance:0:shuff:20,cs:Steel-Druha_sance:0:shuff:20,trusted,trust,důvěřovala,důvěřovat,impf
en:Steel-Druha_sance:0:shuff:21,cs:Steel-Druha_sance:0:shuff:21,want,want,Chci,chtít,impf
en:Steel-Druha_sance:0:shuff:22,cs:Steel-Druha_sance:0:shuff:22,talked,talk,mluvil,mluvit,impf
en:Steel-Druha_sance:0:shuff:23,cs:Steel-Druha_sance:0:shuff:23,talked,talk,hovořil,hovořit,impf
en:Steel-Druha_sance:0:shuff:25,cs:Steel-Druha_sance:0:shuff:25,owed,owe,dlužili,dlužit,impf
en:Steel-Druha_sance:0:shuff:26,cs:Steel-Druha_sance:0:shuff:26,say,say,pronesou,pronést,pf
en:Steel-Druha_sance:0:shuff:26,cs:Steel-Druha_sance:0:shuff:26,saying,say,pronesou,pronést,pf
en:Steel-Druha_sance:0:shuff:26,cs:Steel-Druha_sance:0:shuff:26,say,say,říká,říkat,impf
en:Steel-Druha_sance:0:shuff:26,cs:Steel-Druha_sance:0:shuff:26,saying,say,říká,říkat,impf
en:Steel-Druha_sance:0:shuff:27,cs:Steel-Druha_sance:0:shuff:27,felt,feel,cítila,cítit,impf
en:Steel-Druha_sance:0:shuff:33,cs:Steel-Druha_sance:0:shuff:34,maintain,maintain,zachovala,zachovat,pf
en:Steel-Druha_sance:0:shuff:33,cs:Steel-Druha_sance:0:shuff:34,arrived,arrive,přišel,přijít,pf
en:Steel-Druha_sance:0:shuff:38,cs:Steel-Druha_sance:0:shuff:39,bring,bring,přinést,přinést,pf
en:Steel-Druha_sance:0:shuff:38,cs:Steel-Druha_sance:0:shuff:39,offered,offer,nabídl,nabídnout,pf
en:Steel-Druha_sance:0:shuff:38,cs:Steel-Druha_sance:0:shuff:39,suspected,suspect,tušil,tušit,impf
en:Steel-Druha_sance:0:shuff:40,cs:Steel-Druha_sance:0:shuff:41,gotten,get,nedostala,dostat,pf
en:Steel-Druha_sance:0:shuff:41,cs:Steel-Druha_sance:0:shuff:42,bring,bring,Přineste,přinést,pf
en:Steel-Druha_sance:0:shuff:43,cs:Steel-Druha_sance:0:shuff:44,beginning,begin,začínáš,začínat,impf
en:Steel-Druha_sance:0:shuff:45,cs:Steel-Druha_sance:0:shuff:47,finish,finish,dokončí,dokončit,pf
en:Steel-Druha_sance:0:shuff:46,cs:Steel-Druha_sance:0:shuff:48,hoped,hope,Doufala,doufat,impf
en:Steel-Druha_sance:0:shuff:47,cs:Steel-Druha_sance:0:shuff:49,matter,matter,Nezáleželo,záležet,impf
en:Steel-Druha_sance:0:shuff:48,cs:Steel-Druha_sance:0:shuff:50,buy,buy,kup,koupit,pf
en:Steel-Druha_sance:0:shuff:49,cs:Steel-Druha_sance:0:shuff:51,telling,tell,povědět,povědět,pf
en:Steel-Druha_sance:0:shuff:49,cs:Steel-Druha_sance:0:shuff:51,did,do,udělala,udělat,pf
en:Steel-Druha_sance:0:shuff:49,cs:Steel-Druha_sance:0:shuff:51,thrown,throw,vyhodil,vyhodit,pf
en:Steel-Druha_sance:0:shuff:50,cs:Steel-Druha_sance:0:shuff:52,promise,promise,slibuju,slibovat,impf
en:Steel-Druha_sance:0:shuff:52,cs:Steel-Druha_sance:0:shuff:54,found,find,našla,najít,pf
en:Steel-Druha_sance:0:shuff:54,cs:Steel-Druha_sance:0:shuff:56,called,call,Zavolala,zavolat,pf
en:Steel-Druha_sance:0:shuff:58,cs:Steel-Druha_sance:0:shuff:60,left,leave,nechá,nechat,pf
en:Steel-Druha_sance:0:shuff:60,cs:Steel-Druha_sance:0:shuff:63,want,want,Nechtěla,chtít,impf
en:Steel-Druha_sance:0:shuff:60,cs:Steel-Druha_sance:0:shuff:63,wake,wake,vzbudit,vzbudit,pf
en:Steel-Druha_sance:0:shuff:60,cs:Steel-Druha_sance:0:shuff:63,stirring,stir,vzbudit,vzbudit,pf
en:Steel-Druha_sance:0:shuff:61,cs:Steel-Druha_sance:0:shuff:64,asked,ask,zeptal,zeptat,pf
en:Steel-Druha_sance:0:shuff:62,cs:Steel-Druha_sance:0:shuff:65,loved,love,Líbilo,líbit,impf
en:Steel-Druha_sance:0:shuff:64,cs:Steel-Druha_sance:0:shuff:67,left,leave,odjíždí,odjíždět,impf
en:Steel-Druha_sance:0:shuff:67,cs:Steel-Druha_sance:0:shuff:70,feel,feel,cítíme,cítit,impf
en:Steel-Druha_sance:0:shuff:68,cs:Steel-Druha_sance:0:shuff:71,die,die,umřu,umřít,pf
en:Steel-Druha_sance:0:shuff:69,cs:Steel-Druha_sance:0:shuff:72,hope,hope,Doufám,doufat,impf
en:Steel-Druha_sance:0:shuff:69,cs:Steel-Druha_sance:0:shuff:72,remembered,remember,vzpomněla,vzpomenout,pf
en:Steel-Druha_sance:0:shuff:72,cs:Steel-Druha_sance:0:shuff:75,tell,tell,Řekla,říci,pf
en:Steel-Druha_sance:0:shuff:74,cs:Steel-Druha_sance:0:shuff:77,think,think,Myslím,myslet,impf
en:Steel-Druha_sance:0:shuff:81,cs:Steel-Druha_sance:0:shuff:84,wanted,want,toužil,toužit,impf
en:Steel-Druha_sance:0:shuff:82,cs:Steel-Druha_sance:0:shuff:85,cleaning,clean,uklízí,uklízet,impf
en:Steel-Druha_sance:0:shuff:84,cs:Steel-Druha_sance:0:shuff:87,shut,shut,uzavřela,uzavřít,pf
en:Steel-Druha_sance:0:shuff:85,cs:Steel-Druha_sance:0:shuff:88,said,say,říkala,říkat,impf
en:Steel-Druha_sance:0:shuff:85,cs:Steel-Druha_sance:0:shuff:88,dating,date,chodit,chodit,impf
en:Steel-Druha_sance:0:shuff:86,cs:Steel-Druha_sance:0:shuff:89,wanted,want,chce,chtít,impf
en:Steel-Druha_sance:0:shuff:86,cs:Steel-Druha_sance:0:shuff:89,finish,finish,dokončit,dokončit,pf
en:Steel-Druha_sance:0:shuff:90,cs:Steel-Druha_sance:0:shuff:93,forgot,forget,zapomněla,zapomenout,pf
en:Steel-Druha_sance:0:shuff:96,cs:Steel-Druha_sance:0:shuff:99,like,like,Chcete,chtít,impf
en:Steel-Druha_sance:0:shuff:96,cs:Steel-Druha_sance:0:shuff:99,come,come,jít,jít,impf
en:Steel-Druha_sance:0:shuff:97,cs:Steel-Druha_sance:0:shuff:100,come,come,Půjdu,jít,impf
en:Steel-Druha_sance:0:shuff:98,cs:Steel-Druha_sance:0:shuff:101,want,want,Nechtěl,chtít,impf
en:Steel-Druha_sance:0:shuff:99,cs:Steel-Druha_sance:0:shuff:102,work,work,pracovat,pracovat,impf
en:Steel-Druha_sance:0:shuff:99,cs:Steel-Druha_sance:0:shuff:102,do,do,navštívím,navštívit,pf
en:Steel-Druha_sance:0:shuff:100,cs:Steel-Druha_sance:0:shuff:103,taking,take,Vezmu,vzít,pf
en:Steel-Druha_sance:0:shuff:100,cs:Steel-Druha_sance:0:shuff:103,do,do,Vezmu,vzít,pf
en:Steel-Druha_sance:0:shuff:100,cs:Steel-Druha_sance:0:shuff:103,rush,rush,spěchat,spěchat,impf
en:Steel-Druha_sance:0:shuff:101,cs:Steel-Druha_sance:0:shuff:104,called,call,zavolal,zavolat,pf
en:Steel-Druha_sance:0:shuff:102,cs:Steel-Druha_sance:0:shuff:105,let,let,Nechala,nechat,pf
en:Steel-Druha_sance:0:shuff:104,cs:Steel-Druha_sance:0:shuff:107,suggested,suggest,Navrhl,navrhnout,pf
en:Steel-Druha_sance:0:shuff:105,cs:Steel-Druha_sance:0:shuff:108,called,call,Nezavolala,zavolat,pf
en:Steel-Druha_sance:0:shuff:106,cs:Steel-Druha_sance:0:shuff:109,heard,hear,zaslechla,zaslechnout,pf
en:Steel-Druha_sance:0:shuff:107,cs:Steel-Druha_sance:0:shuff:110,said,say,Prohlásila,prohlásit,pf
en:Steel-Druha_sance:0:shuff:107,cs:Steel-Druha_sance:0:shuff:110,brought,bring,přivede,přivést,pf
en:Steel-Druha_sance:0:shuff:107,cs:Steel-Druha_sance:0:shuff:110,put,put,řekl,říci,pf
